job_id,job_title,company,location,job_description,experience,education,salary,job_type,extracted_skills
JOB00001,Python Developer,Infosys,Remote,"We are looking for a Python Developer to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include Python, SQL, Flask. Candidates should have 1-3 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,MCA,₹10-16 LPA,Part-time,"['Flask', 'SQL', 'Python']"
JOB00002,Data Scientist,Infosys,"Hyderabad, Telangana","We are looking for a Data Scientist to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include Python, SQL, Machine Learning, Pandas, Scikit-learn. Candidates should have 0-2 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,MCA,₹12-20 LPA,Remote,"['Scikit-learn', 'SQL', 'Python', 'Pandas', 'Machine Learning']"
JOB00003,Data Engineer,IBM,"Bengaluru, Karnataka","We are looking for a Data Engineer to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include Spark, SQL, Python, ETL. Candidates should have 8-12 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,BCA,₹3-5 LPA,Internship,"['SQL', 'Python']"
JOB00004,Business Analyst,Google,"Hyderabad, Telangana","We are looking for a Business Analyst to join our team at Google. The candidate will work on data, software, and business projects. Required skills include SQL, Communication, Power BI, Data Analysis. Candidates should have 1-3 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,M.Tech,₹10-16 LPA,Remote,"['Power BI', 'SQL']"
JOB00005,Business Analyst,Mphasis,"Delhi, India","We are looking for a Business Analyst to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include SQL, Data Analysis, Power BI. Candidates should have 8-12 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,M.Tech,₹5-8 LPA,Remote,"['Power BI', 'SQL']"
JOB00006,Software Engineer,Wipro,"Mumbai, Maharashtra","We are looking for a Software Engineer to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include Git, C++, Java, Python. Candidates should have 8-12 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,B.Tech,₹8-12 LPA,Internship,"['C++', 'Git', 'Java', 'Python']"
JOB00007,Frontend Developer,IBM,Remote,"We are looking for a Frontend Developer to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include CSS, Tailwind CSS, HTML, React, JavaScript. Candidates should have 5-8 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,B.Tech,₹6-10 LPA,Remote,"['Java', 'JavaScript', 'HTML', 'CSS', 'React']"
JOB00008,AI Engineer,Capgemini,"Kolkata, West Bengal","We are looking for a AI Engineer to join our team at Capgemini. The candidate will work on data, software, and business projects. Required skills include Deep Learning, NLP, Machine Learning. Candidates should have 1-3 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,Bachelor's Degree,₹3-5 LPA,Part-time,['Machine Learning']
JOB00009,Frontend Developer,Persistent Systems,Remote,"We are looking for a Frontend Developer to join our team at Persistent Systems. The candidate will work on data, software, and business projects. Required skills include React, CSS, Tailwind CSS, HTML. Candidates should have 1-3 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,MCA,₹5-8 LPA,Internship,"['HTML', 'CSS', 'React']"
JOB00010,AI Engineer,Mphasis,"Delhi, India","We are looking for a AI Engineer to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include Deep Learning, Machine Learning, Python, NLP. Candidates should have 5-8 years of experience and a MBA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,MBA,₹3-5 LPA,Remote,"['Machine Learning', 'Python']"
